"Front","Back"
"What are the 5 main pillars of the Business Technology Platform (BTP)?","1. App Dev<br>2. Automation<br>3. Integration<br>4. AI<br>5. Data and Analytics"
"What are the 6 core characteristics of the Business Technology Platform?","1. Secure and compliant<br>2. Open and flexible<br>3. Unified and simple<br>4. Broad ecosystem<br>5. Enterprise grade and scalable<br>6. Business centric"
"List the capabilities under the **App Dev** pillar.","Visual low-code/no-code experience, Pro-code tooling, Digital experience, and DevOps."
"List the capabilities under the **Automation** pillar.","Workflow management, Robotic process automation (RPA), Process monitoring and analytics, and Automated document processing."
"List the capabilities under the **Integration** pillar.","Process, API-led, Event-driven, Hybrid, B2B, and Data integration."
"List the capabilities under the **AI** pillar.","Pretrained AI models, Generative AI and AI workload management, Business data and context, and Responsible AI."
"List the capabilities under the **Data and Analytics** pillar.","Analytics and planning, Machine learning and data engineering, Data management, Data warehouse and data lake, and Operational database."
"Which pillar includes 'Visual low-code/no-code' and 'DevOps'?","**App Dev**"
"Which pillar includes 'Robotic process automation' and 'Workflow management'?","**Automation**"
"Which pillar includes 'API-led' and 'Event-driven' capabilities?","**Integration**"
"Which pillar includes 'Generative AI' and 'Responsible AI'?","**AI**"
"Which pillar includes 'Data warehouse', 'Data lake', and 'Operational database'?","**Data and Analytics**"
