"Front","Back"
"What is the highest level in the SAP hierarchy?","The **Client** (contains all master data and records)."
"Which object is used for Profitability Analysis (CO-PA) across the whole enterprise?","**Operating Concern**"
"What is a **Controlling Area** used for?","Internal management accounting; it is where costs and revenues are tracked and allocated."
"True or False: Multiple Company Codes can belong to one Controlling Area.","**True** (This allows for cross-company internal reporting)."
"What is a **Company Code**?","The smallest organizational unit for which a complete set of legal financial accounts (Balance Sheet/P&L) can be created."
"In SAP, what does a **Plant** represent?","A physical location for production, procurement, or storage (The central hub of Logistics)."
"What are the three components of a **Sales Area**?","1. Sales Organization<br>2. Distribution Channel<br>3. Division"
"Name the 3 types of **Purchasing Organization** configurations.","1. Centralized<br>2. Cross-plant<br>3. Plant-specific"
"What is the difference between a **Plant** and a **Storage Location**?","A **Plant** is the site where inventory is managed; a **Storage Location** is the specific place within the plant where stock is kept."
"In S/4HANA, what is the **Valuation Level** usually set to?","The **Plant level** (recommended for costing and material requirements planning)."
"What is a **Shipping Point**?","The physical location from which goods are shipped (assigned at the plant level)."
"What does a **Personnel Area** represent in HR?","A subdivision of a Company Code, representing a specific office or reporting location for employees."
